doctor_id,first_name,last_name,specialization,appointment_date,appointment_time,appointment_duration,appointment_type,availability_status
DOC0001,Timothy,Singleton,Cardiologist,2025-08-04,09:00,90,Initial Consultation,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-04,10:30,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-04,12:00,60,Stress Test,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-04,13:00,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-04,14:30,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-04,16:00,45,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,09:00,45,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,10:30,45,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,11:15,90,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,12:45,45,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,13:30,60,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,14:30,60,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,15:30,60,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-05,16:30,45,Initial Consultation,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,09:00,60,ECG Review,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,10:00,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,11:00,90,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,12:30,45,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,14:00,45,Follow-up,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,14:45,60,ECG Review,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,15:45,45,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-06,16:30,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,09:00,90,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,10:30,45,ECG Review,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,12:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,13:00,45,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,13:45,60,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,14:45,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-08,16:15,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,09:00,60,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,10:00,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,11:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,12:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,13:00,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,14:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,15:00,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-11,16:30,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,09:00,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,10:00,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,11:00,60,Initial Consultation,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,12:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,13:00,60,Stress Test,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,14:00,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,15:30,60,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-12,16:30,45,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,09:00,90,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,10:30,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,11:30,45,Initial Consultation,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,12:15,90,ECG Review,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,15:15,45,ECG Review,Available
